epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.312,1.55039,1.83899,0.91815,0.0201,0.76429,0.1999,0.06489,2.20824,2.48154,0.85021,0.000655914,0.000655914,0.000655914
2,578.191,1.25034,0.83844,0.8544,0.71356,0.62946,0.6644,0.33185,1.7212,1.13461,0.83216,0.00130621,0.00130621,0.00130621
3,856.83,1.20664,0.7792,0.84803,0.68184,0.61071,0.65773,0.31533,1.827,1.01755,0.84982,0.00194001,0.00194001,0.00194001
4,1129.31,1.20054,0.77459,0.84479,0.76607,0.6183,0.6652,0.34913,1.71416,0.97343,0.85127,0.00192575,0.00192575,0.00192575
5,1406.17,1.12035,0.71342,0.83831,0.7551,0.70751,0.74023,0.38377,1.66837,0.90417,0.8233,0.001901,0.001901,0.001901
6,1680.45,1.19006,0.7229,0.84414,0.76065,0.675,0.73995,0.38031,1.67262,0.91261,0.82562,0.00187625,0.00187625,0.00187625
7,1950.24,1.11172,0.69227,0.839,0.78145,0.71518,0.76706,0.38659,1.68231,0.9471,0.81477,0.0018515,0.0018515,0.0018515
8,2222.03,1.10475,0.66744,0.82956,0.79621,0.72208,0.78787,0.42809,1.56078,0.84575,0.81218,0.00182675,0.00182675,0.00182675
9,2490.14,1.03249,0.63398,0.82454,0.8021,0.74366,0.80186,0.43994,1.52815,0.83198,0.80808,0.001802,0.001802,0.001802
10,2757.04,1.0261,0.6224,0.82075,0.8357,0.72991,0.80719,0.4634,1.53293,0.84968,0.80923,0.00177725,0.00177725,0.00177725
11,3023.54,1.05555,0.63376,0.829,0.8217,0.75714,0.81788,0.47292,1.50878,0.81263,0.81133,0.0017525,0.0017525,0.0017525
12,3291.16,0.98344,0.60597,0.81812,0.81141,0.75446,0.81233,0.46615,1.51911,0.81152,0.81447,0.00172775,0.00172775,0.00172775
13,3556.98,0.98714,0.59228,0.81571,0.81367,0.77455,0.8332,0.47462,1.50949,0.78649,0.81347,0.001703,0.001703,0.001703
14,3827.38,1.03366,0.59371,0.81585,0.79664,0.72232,0.79201,0.35843,1.75776,0.88223,0.81424,0.00167825,0.00167825,0.00167825
15,4095.8,0.97953,0.58194,0.81796,0.8104,0.78425,0.82498,0.46762,1.48226,0.79749,0.80322,0.0016535,0.0016535,0.0016535
16,4366.64,1.06488,0.60681,0.82044,0.81003,0.77589,0.8209,0.45262,1.56771,0.83134,0.81214,0.00162875,0.00162875,0.00162875
17,4631.44,0.99595,0.59273,0.81965,0.83595,0.72902,0.79318,0.44634,1.51951,0.81089,0.81814,0.001604,0.001604,0.001604
18,4904.46,0.9847,0.56216,0.81226,0.80673,0.77332,0.81677,0.45172,1.51591,0.7899,0.80593,0.00157925,0.00157925,0.00157925
19,5177.72,0.97734,0.56903,0.80981,0.81706,0.7942,0.83278,0.47069,1.51524,0.76885,0.8035,0.0015545,0.0015545,0.0015545
20,5449.89,0.94368,0.55453,0.811,0.82602,0.76027,0.82391,0.48828,1.44588,0.75516,0.80864,0.00152975,0.00152975,0.00152975
21,5724.78,0.92722,0.54483,0.81418,0.82648,0.76295,0.83435,0.49334,1.44412,0.76979,0.80277,0.001505,0.001505,0.001505
22,6006.06,0.94407,0.54689,0.80712,0.8115,0.80045,0.83735,0.50551,1.40592,0.73793,0.80464,0.00148025,0.00148025,0.00148025
23,6277.61,0.91022,0.53141,0.80676,0.82091,0.78705,0.8435,0.49938,1.40427,0.75219,0.80198,0.0014555,0.0014555,0.0014555
24,6552.04,0.93574,0.53371,0.80808,0.83235,0.75356,0.81267,0.44079,1.57599,0.77828,0.81321,0.00143075,0.00143075,0.00143075
25,6828.54,1.03585,0.56638,0.8136,0.85887,0.75253,0.83784,0.49493,1.43861,0.73556,0.80172,0.001406,0.001406,0.001406
26,7104.24,0.93437,0.5367,0.80979,0.82934,0.79955,0.85529,0.51476,1.39577,0.75377,0.79744,0.00138125,0.00138125,0.00138125
27,7378,0.90872,0.52438,0.80408,0.82884,0.80446,0.853,0.5127,1.41587,0.74257,0.80295,0.0013565,0.0013565,0.0013565
28,7642.98,0.89488,0.5193,0.80522,0.83965,0.79955,0.85919,0.5081,1.38298,0.72808,0.7997,0.00133175,0.00133175,0.00133175
29,7918.01,0.88795,0.51154,0.8055,0.84793,0.80154,0.85807,0.51408,1.40412,0.74781,0.79968,0.001307,0.001307,0.001307
30,8191.71,0.88599,0.50843,0.8022,0.83244,0.79554,0.85006,0.52257,1.36721,0.71846,0.79994,0.00128225,0.00128225,0.00128225
31,8471.45,0.85592,0.49433,0.80064,0.8216,0.80848,0.85486,0.5265,1.36139,0.72292,0.80062,0.0012575,0.0012575,0.0012575
32,8740.22,0.87371,0.50535,0.80149,0.85247,0.80536,0.86349,0.52311,1.37019,0.74962,0.79605,0.00123275,0.00123275,0.00123275
33,9014.47,0.85304,0.49027,0.80342,0.82785,0.81364,0.86289,0.52839,1.37206,0.70995,0.79819,0.001208,0.001208,0.001208
34,9283.88,0.86948,0.50283,0.80312,0.84165,0.80402,0.85824,0.5093,1.4121,0.72996,0.80242,0.00118325,0.00118325,0.00118325
35,9557.36,0.86535,0.49634,0.80302,0.83623,0.80694,0.86098,0.5317,1.36821,0.70456,0.79682,0.0011585,0.0011585,0.0011585
36,9832.51,0.89446,0.50992,0.80528,0.82041,0.79535,0.85028,0.48873,1.44421,0.75048,0.80157,0.00113375,0.00113375,0.00113375
37,10107,0.85382,0.49058,0.80076,0.84996,0.81607,0.87075,0.53118,1.36873,0.69685,0.79842,0.001109,0.001109,0.001109
38,10378.8,0.88532,0.5072,0.80594,0.83762,0.8037,0.85698,0.52248,1.3525,0.71806,0.79511,0.00108425,0.00108425,0.00108425
39,10644.7,0.86109,0.4941,0.79825,0.85589,0.80268,0.86805,0.52874,1.34885,0.7004,0.79763,0.0010595,0.0010595,0.0010595
40,10918.6,0.85557,0.48912,0.79941,0.84312,0.80268,0.86418,0.52717,1.36209,0.69431,0.79785,0.00103475,0.00103475,0.00103475
41,11194.4,0.82943,0.47303,0.79742,0.85316,0.80925,0.8736,0.54329,1.33479,0.68812,0.79738,0.00101,0.00101,0.00101
42,11486.4,0.86989,0.48639,0.79983,0.83926,0.81429,0.86283,0.53925,1.34846,0.70502,0.80128,0.00098525,0.00098525,0.00098525
43,11764.6,0.84433,0.47972,0.80101,0.8427,0.78571,0.85433,0.52222,1.35841,0.71442,0.79714,0.0009605,0.0009605,0.0009605
44,12033.3,0.836,0.46987,0.7951,0.8447,0.80616,0.86281,0.53698,1.33189,0.70172,0.79939,0.00093575,0.00093575,0.00093575
45,12302.7,0.84859,0.47859,0.80162,0.86571,0.80585,0.86787,0.53877,1.32797,0.68702,0.79912,0.000911,0.000911,0.000911
46,12580,0.81935,0.46222,0.79846,0.86097,0.80937,0.87009,0.54742,1.32559,0.67703,0.79753,0.00088625,0.00088625,0.00088625
47,12847.7,0.80863,0.45977,0.79706,0.8595,0.81109,0.87296,0.54816,1.32008,0.68686,0.7944,0.0008615,0.0008615,0.0008615
48,13118.6,0.84112,0.47238,0.7985,0.86265,0.80748,0.87411,0.55604,1.28245,0.67081,0.79214,0.00083675,0.00083675,0.00083675
49,13393.9,0.84529,0.47301,0.79928,0.8358,0.81875,0.86129,0.54134,1.3169,0.68764,0.79502,0.000812,0.000812,0.000812
50,13671.2,0.83255,0.46526,0.79322,0.85556,0.81711,0.87086,0.53365,1.36319,0.68057,0.80035,0.00078725,0.00078725,0.00078725
51,13941.4,0.82535,0.46025,0.79542,0.86086,0.82865,0.88367,0.5332,1.37446,0.67963,0.79061,0.0007625,0.0007625,0.0007625
52,14210.9,0.78727,0.45267,0.79838,0.85808,0.8375,0.88474,0.55645,1.3032,0.6817,0.78916,0.00073775,0.00073775,0.00073775
53,14479.9,0.78226,0.4436,0.79534,0.85799,0.83075,0.88125,0.54854,1.32117,0.6739,0.79186,0.000713,0.000713,0.000713
54,14759.8,0.80693,0.44998,0.79363,0.85912,0.81944,0.87634,0.55166,1.30811,0.66875,0.79603,0.00068825,0.00068825,0.00068825
55,15046.3,0.81208,0.44913,0.79266,0.84961,0.81968,0.8768,0.56171,1.2715,0.66291,0.79282,0.0006635,0.0006635,0.0006635
56,15327.7,0.80433,0.44441,0.79115,0.83861,0.8308,0.87631,0.54367,1.33955,0.67964,0.79345,0.00063875,0.00063875,0.00063875
57,15607,0.79217,0.44893,0.79635,0.85004,0.8067,0.86741,0.55399,1.29132,0.67206,0.79275,0.000614,0.000614,0.000614
58,15884.8,0.77934,0.44022,0.78972,0.86988,0.81205,0.87565,0.55267,1.30146,0.66978,0.79542,0.00058925,0.00058925,0.00058925
59,16166.5,0.78455,0.44178,0.79261,0.87811,0.80446,0.88656,0.56189,1.28316,0.66225,0.78962,0.0005645,0.0005645,0.0005645
60,16443.1,0.76696,0.43654,0.79311,0.87582,0.81232,0.88746,0.56856,1.26137,0.65569,0.79106,0.00053975,0.00053975,0.00053975
61,16723.6,0.76667,0.43118,0.79167,0.86832,0.82366,0.88574,0.5605,1.28706,0.65372,0.79326,0.000515,0.000515,0.000515
62,17007.6,0.77695,0.43407,0.7909,0.87053,0.82243,0.88664,0.56919,1.26911,0.64675,0.78893,0.00049025,0.00049025,0.00049025
63,17298.3,0.76637,0.43118,0.792,0.86343,0.82902,0.88985,0.57305,1.25919,0.64685,0.79246,0.0004655,0.0004655,0.0004655
64,17576,0.74118,0.42161,0.79225,0.86969,0.82321,0.88921,0.56979,1.26211,0.6454,0.7909,0.00044075,0.00044075,0.00044075
65,17865.3,0.77001,0.43058,0.78998,0.8729,0.80848,0.88092,0.56387,1.2896,0.65186,0.79393,0.000416,0.000416,0.000416
66,18151.2,0.76204,0.42559,0.79183,0.86309,0.82177,0.88195,0.56587,1.27224,0.6507,0.79327,0.00039125,0.00039125,0.00039125
67,18430.9,0.75703,0.4219,0.78987,0.89589,0.81055,0.88683,0.57438,1.24706,0.63999,0.78766,0.0003665,0.0003665,0.0003665
68,18709.6,0.74346,0.42008,0.79125,0.90297,0.8058,0.88432,0.5735,1.24785,0.64269,0.7886,0.00034175,0.00034175,0.00034175
69,18993.7,0.75119,0.4177,0.78693,0.89076,0.80848,0.88922,0.56753,1.26503,0.64305,0.79209,0.000317,0.000317,0.000317
70,19276.2,0.7594,0.41962,0.78883,0.88234,0.81741,0.88982,0.575,1.25519,0.64163,0.7915,0.00029225,0.00029225,0.00029225
71,19544.3,0.74637,0.42828,0.79145,0.87137,0.81349,0.88007,0.57375,1.24718,0.64827,0.79284,0.0002675,0.0002675,0.0002675
72,19807.4,0.72348,0.41224,0.79226,0.88485,0.81205,0.88267,0.57368,1.25484,0.64755,0.79136,0.00024275,0.00024275,0.00024275
73,20073.6,0.71862,0.41121,0.79069,0.8637,0.82768,0.88654,0.57093,1.25959,0.64602,0.79352,0.000218,0.000218,0.000218
74,20352,0.72228,0.40861,0.7886,0.88567,0.81964,0.8901,0.57063,1.25488,0.6386,0.7916,0.00019325,0.00019325,0.00019325
75,20626.4,0.71249,0.40723,0.79019,0.87166,0.82143,0.887,0.57348,1.25464,0.64429,0.79389,0.0001685,0.0001685,0.0001685
76,20901.6,0.71885,0.40875,0.78779,0.87243,0.82009,0.88726,0.57202,1.26252,0.64521,0.79511,0.00014375,0.00014375,0.00014375
77,21173.4,0.71933,0.40963,0.78997,0.89033,0.81071,0.8836,0.57488,1.2433,0.63636,0.79249,0.000119,0.000119,0.000119
78,21440.8,0.70421,0.40363,0.78838,0.89847,0.80312,0.88391,0.57447,1.23987,0.63864,0.79165,9.425e-05,9.425e-05,9.425e-05
79,21700.5,0.7058,0.4015,0.78857,0.89058,0.81205,0.88853,0.57684,1.23207,0.63057,0.78955,6.95e-05,6.95e-05,6.95e-05
80,21962,0.69905,0.39569,0.7872,0.89085,0.80804,0.88747,0.57677,1.23338,0.63282,0.79101,4.475e-05,4.475e-05,4.475e-05
